specialty,task_type,task_size,difficulty,user_level,actual_minutes
Software Engineering,Debugging,6,2,1,135
Computer Networks,Reading Protocols,16,2,2,311
Computer Networks,Security Auditing,8,2,2,96
Computer Networks,Reading Protocols,18,2,1,335
Artificial Intelligence,Writing Code,22,1,1,342
Software Engineering,Code Review,14,2,2,198
Software Engineering,Writing Code,22,1,3,148
Computer Networks,Lab Simulation,17,1,3,101
Computer Networks,Network Troubleshooting,23,2,2,359
Artificial Intelligence,Math/Algorithm Review,24,1,2,246
Software Engineering,Debugging,6,2,1,132
Software Engineering,System Design,10,2,3,101
Software Engineering,Writing Code,13,2,2,162
Computer Networks,Configuring Routers,13,2,2,198
Software Engineering,Code Review,19,2,1,477
Artificial Intelligence,Model Training,24,2,1,439
Artificial Intelligence,Math/Algorithm Review,24,3,1,588
Computer Networks,Lab Simulation,4,3,3,67
Computer Networks,Configuring Routers,24,2,3,247
Artificial Intelligence,Math/Algorithm Review,8,2,3,69
Software Engineering,Code Review,15,2,2,236
Artificial Intelligence,Writing Code,11,3,1,246
Artificial Intelligence,Writing Code,23,2,1,550
Artificial Intelligence,Reading Research Papers,1,1,1,13
Artificial Intelligence,Math/Algorithm Review,17,3,2,310
Artificial Intelligence,Writing Code,24,3,1,798
Artificial Intelligence,Reading Research Papers,8,3,2,167
Artificial Intelligence,Math/Algorithm Review,21,1,1,313
Software Engineering,System Design,10,2,3,104
Computer Networks,Reading Protocols,6,2,2,62
Computer Networks,Network Troubleshooting,14,1,1,216
Computer Networks,Reading Protocols,6,3,2,112
Computer Networks,Lab Simulation,1,2,3,9
Software Engineering,Writing Code,1,2,2,13
Artificial Intelligence,Model Training,5,3,1,141
Artificial Intelligence,Writing Code,15,3,1,541
Software Engineering,System Design,15,2,2,201
Computer Networks,Reading Protocols,19,2,2,322
Artificial Intelligence,Model Training,8,2,2,121
Computer Networks,Network Troubleshooting,14,2,3,159
Computer Networks,Security Auditing,12,2,2,148
Software Engineering,Debugging,17,2,2,303
Software Engineering,Reading Documentation,23,1,1,285
Artificial Intelligence,Reading Research Papers,22,3,1,560
Computer Networks,Lab Simulation,15,1,1,179
Software Engineering,System Design,9,1,2,66
Computer Networks,Configuring Routers,11,1,3,43
Artificial Intelligence,Data Preprocessing,7,1,1,108
Computer Networks,Network Troubleshooting,18,2,1,324
Software Engineering,Writing Code,20,2,1,403
Software Engineering,System Design,23,2,2,339
Artificial Intelligence,Writing Code,17,1,2,145
Artificial Intelligence,Math/Algorithm Review,15,2,2,219
Software Engineering,Debugging,6,2,1,110
Computer Networks,Network Troubleshooting,10,3,2,208
Software Engineering,Code Review,18,3,2,294
Computer Networks,Reading Protocols,8,1,2,80
Computer Networks,Reading Protocols,1,2,2,17
Software Engineering,System Design,14,1,3,100
Computer Networks,Network Troubleshooting,7,2,3,85
Software Engineering,System Design,20,2,3,230
Computer Networks,Security Auditing,20,2,2,198
Computer Networks,Security Auditing,22,2,1,556
Artificial Intelligence,Math/Algorithm Review,14,2,1,378
Software Engineering,Debugging,13,2,1,152
Artificial Intelligence,Math/Algorithm Review,14,3,2,277
Computer Networks,Network Troubleshooting,21,3,2,400
Artificial Intelligence,Data Preprocessing,5,2,3,52
Software Engineering,Writing Code,21,1,3,161
Artificial Intelligence,Writing Code,14,1,1,178
Computer Networks,Network Troubleshooting,21,3,2,467
Software Engineering,Reading Documentation,7,2,3,76
Artificial Intelligence,Writing Code,24,1,1,316
Computer Networks,Reading Protocols,20,1,2,143
Artificial Intelligence,Model Training,21,2,1,486
Software Engineering,Writing Code,11,2,2,181
Software Engineering,System Design,17,3,2,334
Computer Networks,Security Auditing,16,3,2,374
Artificial Intelligence,Data Preprocessing,18,2,1,421
Artificial Intelligence,Data Preprocessing,13,2,1,212
Computer Networks,Lab Simulation,7,1,3,65
Artificial Intelligence,Math/Algorithm Review,23,2,2,327
Computer Networks,Network Troubleshooting,7,1,2,60
Computer Networks,Security Auditing,13,1,2,148
Computer Networks,Configuring Routers,4,2,1,69
Artificial Intelligence,Data Preprocessing,16,2,3,134
Artificial Intelligence,Math/Algorithm Review,23,1,1,199
Computer Networks,Reading Protocols,7,1,1,130
Computer Networks,Configuring Routers,10,1,1,121
Software Engineering,Writing Code,17,1,1,193
Artificial Intelligence,Writing Code,16,1,3,90
Software Engineering,Writing Code,24,1,3,145
Artificial Intelligence,Math/Algorithm Review,13,3,2,314
Computer Networks,Security Auditing,22,2,2,286
Artificial Intelligence,Data Preprocessing,17,3,3,236
Software Engineering,System Design,22,3,3,314
Artificial Intelligence,Model Training,17,1,3,94
Artificial Intelligence,Writing Code,24,2,1,320
Computer Networks,Security Auditing,9,1,3,52
Artificial Intelligence,Data Preprocessing,15,2,2,210
Computer Networks,Reading Protocols,5,1,2,42
Software Engineering,Code Review,16,2,1,321
Artificial Intelligence,Writing Code,19,3,1,676
Artificial Intelligence,Math/Algorithm Review,13,1,3,95
Software Engineering,Reading Documentation,16,2,3,188
Software Engineering,System Design,10,1,2,98
Software Engineering,Debugging,19,3,1,560
Computer Networks,Lab Simulation,7,1,3,47
Computer Networks,Network Troubleshooting,13,2,3,156
Software Engineering,Debugging,24,3,1,854
Computer Networks,Lab Simulation,22,3,2,458
Artificial Intelligence,Reading Research Papers,17,2,2,219
Computer Networks,Network Troubleshooting,18,3,2,386
Computer Networks,Reading Protocols,20,2,1,497
Artificial Intelligence,Model Training,2,1,3,13
Software Engineering,Reading Documentation,13,3,2,257
Artificial Intelligence,Reading Research Papers,22,1,3,167
Artificial Intelligence,Reading Research Papers,24,2,3,308
Artificial Intelligence,Math/Algorithm Review,5,3,2,90
Artificial Intelligence,Model Training,3,1,2,32
Computer Networks,Security Auditing,14,1,1,178
Computer Networks,Reading Protocols,14,2,1,254
Artificial Intelligence,Math/Algorithm Review,20,2,2,328
Artificial Intelligence,Data Preprocessing,12,1,2,105
Artificial Intelligence,Writing Code,21,2,2,281
Software Engineering,Writing Code,8,2,2,120
Artificial Intelligence,Math/Algorithm Review,13,2,3,129
Software Engineering,Reading Documentation,22,2,1,454
Computer Networks,Security Auditing,20,2,2,248
Artificial Intelligence,Reading Research Papers,1,2,1,19
Artificial Intelligence,Model Training,6,2,2,85
Artificial Intelligence,Model Training,10,1,1,162
Artificial Intelligence,Data Preprocessing,6,2,2,98
Software Engineering,Debugging,12,3,2,236
Computer Networks,Reading Protocols,20,2,2,335
Artificial Intelligence,Model Training,3,1,1,50
Computer Networks,Security Auditing,13,2,2,174
Computer Networks,Security Auditing,13,1,2,124
Artificial Intelligence,Model Training,19,1,3,168
Software Engineering,Reading Documentation,3,1,2,27
Computer Networks,Configuring Routers,7,2,3,55
Computer Networks,Network Troubleshooting,24,2,1,370
Software Engineering,Debugging,4,3,3,78
Artificial Intelligence,Model Training,19,2,3,206
Software Engineering,Writing Code,3,2,2,35
Artificial Intelligence,Model Training,12,2,2,154
Software Engineering,Code Review,15,2,2,211
Artificial Intelligence,Data Preprocessing,2,3,1,76
Software Engineering,Reading Documentation,10,1,1,165
Artificial Intelligence,Writing Code,10,2,1,267
Software Engineering,Writing Code,22,1,1,239
Software Engineering,System Design,12,2,3,127
Computer Networks,Security Auditing,20,1,1,321
Computer Networks,Lab Simulation,20,1,2,174
Computer Networks,Lab Simulation,1,2,1,18
Artificial Intelligence,Reading Research Papers,21,2,2,305
Computer Networks,Reading Protocols,18,2,2,274
Computer Networks,Lab Simulation,20,2,1,419
Artificial Intelligence,Writing Code,15,1,2,129
Computer Networks,Network Troubleshooting,11,2,2,181
Software Engineering,Code Review,8,2,3,84
Software Engineering,Reading Documentation,16,3,2,249
Artificial Intelligence,Model Training,6,2,3,69
Software Engineering,System Design,9,1,1,126
Artificial Intelligence,Reading Research Papers,6,2,3,53
Software Engineering,Writing Code,23,2,3,236
Software Engineering,System Design,15,2,2,182
Computer Networks,Lab Simulation,19,2,2,247
Artificial Intelligence,Model Training,11,2,2,126
Artificial Intelligence,Model Training,14,2,2,152
Computer Networks,Reading Protocols,16,2,2,236
Computer Networks,Reading Protocols,13,3,2,286
Computer Networks,Security Auditing,21,2,1,447
Artificial Intelligence,Writing Code,4,1,1,61
Computer Networks,Network Troubleshooting,4,2,1,73
Software Engineering,Code Review,11,1,3,67
Computer Networks,Configuring Routers,10,1,3,72
Artificial Intelligence,Data Preprocessing,12,1,2,117
Artificial Intelligence,Writing Code,22,2,2,342
Computer Networks,Network Troubleshooting,24,2,3,231
Artificial Intelligence,Math/Algorithm Review,5,2,2,80
Computer Networks,Network Troubleshooting,18,2,1,300
Software Engineering,Reading Documentation,12,3,1,349
Software Engineering,System Design,15,1,1,161
Software Engineering,System Design,2,1,2,21
Artificial Intelligence,Math/Algorithm Review,10,2,2,156
Computer Networks,Lab Simulation,14,1,2,167
Computer Networks,Configuring Routers,8,2,1,136
Artificial Intelligence,Reading Research Papers,5,1,2,62
Artificial Intelligence,Model Training,3,2,1,71
Computer Networks,Security Auditing,2,2,3,16
Computer Networks,Security Auditing,8,2,1,163
Computer Networks,Configuring Routers,23,2,1,489
Software Engineering,Code Review,17,2,3,111
Computer Networks,Security Auditing,19,1,3,118
Software Engineering,Writing Code,21,1,1,300
Software Engineering,Code Review,6,1,1,84
Software Engineering,Debugging,13,2,1,265
Computer Networks,Reading Protocols,20,1,3,148
Artificial Intelligence,Math/Algorithm Review,22,2,3,208
Computer Networks,Configuring Routers,10,2,2,154
Artificial Intelligence,Model Training,14,3,2,279
Software Engineering,Reading Documentation,2,1,1,25
Artificial Intelligence,Reading Research Papers,18,2,3,180
Artificial Intelligence,Writing Code,20,2,1,452
Software Engineering,System Design,21,1,2,153
Software Engineering,Code Review,12,3,2,260
Software Engineering,Code Review,18,1,3,90
Computer Networks,Reading Protocols,5,2,2,85
Artificial Intelligence,Math/Algorithm Review,18,1,2,156
Software Engineering,Code Review,4,3,3,57
Computer Networks,Security Auditing,20,1,2,205
Software Engineering,Code Review,3,2,2,47
Artificial Intelligence,Writing Code,22,3,1,642
Artificial Intelligence,Writing Code,10,2,1,169
Software Engineering,Writing Code,13,1,1,174
Computer Networks,Configuring Routers,11,2,3,120
Computer Networks,Lab Simulation,4,3,1,140
Software Engineering,Code Review,6,2,3,65
Software Engineering,Writing Code,17,2,3,179
Software Engineering,Code Review,11,2,1,216
Artificial Intelligence,Data Preprocessing,15,3,2,322
Software Engineering,Writing Code,23,2,1,481
Computer Networks,Configuring Routers,5,2,1,104
Computer Networks,Reading Protocols,7,2,1,140
Artificial Intelligence,Writing Code,5,2,2,82
Software Engineering,Writing Code,2,2,1,35
Artificial Intelligence,Reading Research Papers,14,1,3,107
Artificial Intelligence,Writing Code,4,1,3,26
Artificial Intelligence,Writing Code,21,3,2,380
Artificial Intelligence,Data Preprocessing,8,2,1,170
Computer Networks,Security Auditing,18,3,1,526
Artificial Intelligence,Data Preprocessing,24,3,2,496
Artificial Intelligence,Data Preprocessing,12,3,1,349
Artificial Intelligence,Reading Research Papers,11,2,2,196
Software Engineering,Code Review,13,1,1,196
Computer Networks,Reading Protocols,23,3,2,539
Computer Networks,Lab Simulation,1,2,1,25
Computer Networks,Security Auditing,15,3,2,354
Artificial Intelligence,Model Training,16,3,2,327
Computer Networks,Network Troubleshooting,2,1,2,20
Artificial Intelligence,Math/Algorithm Review,2,2,2,28
Artificial Intelligence,Model Training,22,3,1,666
Software Engineering,Debugging,21,2,1,394
Computer Networks,Lab Simulation,4,2,2,50
Artificial Intelligence,Math/Algorithm Review,5,2,1,94
Software Engineering,Code Review,17,2,2,229
Artificial Intelligence,Math/Algorithm Review,24,1,1,310
Artificial Intelligence,Model Training,19,1,3,129
Software Engineering,Reading Documentation,22,2,2,320
Software Engineering,Code Review,23,2,1,554
Computer Networks,Security Auditing,17,2,2,207
Computer Networks,Reading Protocols,15,2,3,193
Computer Networks,Configuring Routers,16,1,2,170
Artificial Intelligence,Writing Code,6,2,1,151
Software Engineering,Reading Documentation,10,3,1,271
Software Engineering,System Design,10,3,2,143
Artificial Intelligence,Reading Research Papers,7,3,3,101
Software Engineering,Code Review,21,1,1,239
Artificial Intelligence,Reading Research Papers,7,1,3,41
Artificial Intelligence,Model Training,13,1,1,150
Computer Networks,Security Auditing,18,3,1,346
Computer Networks,Network Troubleshooting,24,2,1,548
Computer Networks,Lab Simulation,10,3,2,212
Software Engineering,Debugging,5,2,1,136
Software Engineering,Reading Documentation,19,3,2,360
Artificial Intelligence,Writing Code,4,2,1,76
Artificial Intelligence,Data Preprocessing,17,3,1,592
Computer Networks,Configuring Routers,17,2,1,225
Artificial Intelligence,Data Preprocessing,10,1,3,71
Artificial Intelligence,Math/Algorithm Review,7,2,1,160
Artificial Intelligence,Reading Research Papers,10,3,2,146
Software Engineering,Code Review,4,2,2,57
Software Engineering,Code Review,14,1,2,152
Software Engineering,Debugging,20,2,1,398
Computer Networks,Configuring Routers,18,1,2,159
Software Engineering,Code Review,5,2,2,66
Computer Networks,Network Troubleshooting,10,2,2,152
Software Engineering,Reading Documentation,18,1,2,143
Software Engineering,System Design,16,1,2,136
Software Engineering,Code Review,11,2,3,114
Computer Networks,Lab Simulation,23,1,2,233
Computer Networks,Configuring Routers,4,2,3,35
Artificial Intelligence,Writing Code,3,1,3,20
Computer Networks,Security Auditing,12,3,3,217
Software Engineering,System Design,24,2,3,205
Software Engineering,Code Review,24,1,2,212
Computer Networks,Security Auditing,2,2,2,32
Artificial Intelligence,Data Preprocessing,5,3,3,89
Computer Networks,Reading Protocols,1,1,2,11
Computer Networks,Configuring Routers,20,1,3,111
Computer Networks,Reading Protocols,4,3,1,110
Software Engineering,System Design,21,2,3,205
Software Engineering,Writing Code,3,1,3,22
Computer Networks,Reading Protocols,2,2,2,30
Software Engineering,Reading Documentation,19,3,1,528
Artificial Intelligence,Model Training,6,1,3,39
Computer Networks,Reading Protocols,3,2,3,25
Computer Networks,Configuring Routers,19,3,1,668
Artificial Intelligence,Writing Code,4,1,1,53
Software Engineering,Reading Documentation,21,1,1,269
Artificial Intelligence,Data Preprocessing,4,1,3,25
Artificial Intelligence,Data Preprocessing,24,1,1,360
Software Engineering,Writing Code,16,1,2,136
Software Engineering,Reading Documentation,12,1,1,162
Software Engineering,Writing Code,4,3,1,111
Artificial Intelligence,Reading Research Papers,14,2,2,208
Artificial Intelligence,Reading Research Papers,22,2,2,394
Computer Networks,Security Auditing,4,2,2,64
Artificial Intelligence,Reading Research Papers,2,1,2,21
Artificial Intelligence,Data Preprocessing,12,2,3,117
Computer Networks,Security Auditing,10,3,1,238
Computer Networks,Lab Simulation,20,1,2,189
Artificial Intelligence,Data Preprocessing,14,1,3,87
Computer Networks,Lab Simulation,21,2,2,337
Computer Networks,Configuring Routers,9,3,1,277
Computer Networks,Configuring Routers,7,2,2,120
Computer Networks,Reading Protocols,13,3,1,480
Software Engineering,System Design,13,2,1,234
Software Engineering,Debugging,7,3,2,169
Software Engineering,Code Review,18,1,2,186
Software Engineering,Code Review,18,1,2,196
Artificial Intelligence,Math/Algorithm Review,15,2,2,219
Software Engineering,Writing Code,10,2,2,148
Computer Networks,Security Auditing,6,1,3,44
Artificial Intelligence,Math/Algorithm Review,16,3,3,253
Computer Networks,Configuring Routers,23,2,1,595
Software Engineering,Writing Code,23,3,1,804
Computer Networks,Lab Simulation,23,2,3,220
Artificial Intelligence,Reading Research Papers,12,2,3,87
Artificial Intelligence,Math/Algorithm Review,22,2,2,283
Computer Networks,Network Troubleshooting,24,1,2,225
Artificial Intelligence,Reading Research Papers,18,2,1,386
Computer Networks,Reading Protocols,11,2,2,119
Artificial Intelligence,Data Preprocessing,4,1,3,32
Artificial Intelligence,Math/Algorithm Review,3,3,1,75
Artificial Intelligence,Math/Algorithm Review,15,2,1,285
Artificial Intelligence,Writing Code,5,3,1,156
Software Engineering,Writing Code,13,2,1,297
Software Engineering,System Design,16,2,3,224
Software Engineering,System Design,23,2,1,338
Software Engineering,Reading Documentation,17,2,2,268
Computer Networks,Configuring Routers,24,3,1,670
Artificial Intelligence,Math/Algorithm Review,4,2,3,42
Software Engineering,Debugging,19,1,1,289
Software Engineering,Writing Code,5,2,1,104
Artificial Intelligence,Writing Code,22,2,1,561
Software Engineering,Code Review,9,3,3,133
Artificial Intelligence,Model Training,4,1,1,44
Computer Networks,Reading Protocols,11,3,1,359
Computer Networks,Network Troubleshooting,19,2,2,286
Computer Networks,Lab Simulation,3,1,1,39
Software Engineering,Writing Code,8,1,3,62
Computer Networks,Lab Simulation,13,3,1,445
Artificial Intelligence,Writing Code,22,2,2,354
Artificial Intelligence,Writing Code,16,3,1,499
Artificial Intelligence,Math/Algorithm Review,19,1,3,160
Computer Networks,Reading Protocols,1,2,2,14
Computer Networks,Network Troubleshooting,8,2,2,117
Artificial Intelligence,Reading Research Papers,6,2,2,100
Artificial Intelligence,Writing Code,19,2,1,491
Software Engineering,Debugging,10,1,2,102
Computer Networks,Security Auditing,2,1,3,11
Artificial Intelligence,Math/Algorithm Review,22,2,2,346
Software Engineering,System Design,21,1,2,164
Software Engineering,Writing Code,23,2,2,420
Artificial Intelligence,Model Training,14,3,3,251
Artificial Intelligence,Reading Research Papers,13,3,2,233
Artificial Intelligence,Model Training,24,2,1,460
Software Engineering,Writing Code,17,2,1,391
Computer Networks,Network Troubleshooting,8,1,1,90
Software Engineering,System Design,11,3,1,386
Artificial Intelligence,Math/Algorithm Review,13,2,1,269
Computer Networks,Lab Simulation,17,2,2,302
Computer Networks,Network Troubleshooting,15,1,2,115
Software Engineering,System Design,1,1,1,14
Software Engineering,System Design,20,2,2,294
Artificial Intelligence,Data Preprocessing,5,2,1,99
Artificial Intelligence,Math/Algorithm Review,12,1,3,94
Software Engineering,Debugging,5,3,3,82
Computer Networks,Configuring Routers,4,2,2,47
Artificial Intelligence,Data Preprocessing,24,3,1,740
Artificial Intelligence,Data Preprocessing,4,1,1,51
Software Engineering,Writing Code,17,1,2,181
Artificial Intelligence,Writing Code,5,3,3,69
Software Engineering,Code Review,14,2,2,225
Artificial Intelligence,Reading Research Papers,24,2,3,154
Artificial Intelligence,Reading Research Papers,6,2,2,75
Artificial Intelligence,Reading Research Papers,22,1,2,188
Artificial Intelligence,Data Preprocessing,2,1,2,15
Computer Networks,Network Troubleshooting,7,2,1,114
Computer Networks,Lab Simulation,4,2,3,43
Software Engineering,Writing Code,24,2,1,624
Computer Networks,Lab Simulation,9,3,2,173
Artificial Intelligence,Reading Research Papers,8,3,2,171
Artificial Intelligence,Math/Algorithm Review,15,2,2,237
Computer Networks,Network Troubleshooting,10,2,1,175
Software Engineering,System Design,8,2,1,132
Software Engineering,Code Review,6,1,2,64
Computer Networks,Configuring Routers,14,1,1,157
Artificial Intelligence,Math/Algorithm Review,2,1,2,18
Software Engineering,System Design,6,1,3,53
Software Engineering,Reading Documentation,6,2,1,86
Computer Networks,Security Auditing,1,1,3,5
Artificial Intelligence,Data Preprocessing,16,2,2,251
Computer Networks,Network Troubleshooting,12,1,2,102
Artificial Intelligence,Model Training,6,1,2,58
Computer Networks,Lab Simulation,2,2,1,46
Artificial Intelligence,Reading Research Papers,15,1,2,137
Software Engineering,Reading Documentation,20,2,2,274
Artificial Intelligence,Reading Research Papers,5,2,2,71
Computer Networks,Reading Protocols,21,1,1,302
Computer Networks,Lab Simulation,3,3,1,100
Software Engineering,Reading Documentation,2,3,1,54
Software Engineering,Reading Documentation,3,3,2,77
Artificial Intelligence,Data Preprocessing,18,3,1,394
Software Engineering,Debugging,1,1,3,8
Computer Networks,Network Troubleshooting,11,2,1,185
Software Engineering,Reading Documentation,24,2,2,382
Artificial Intelligence,Math/Algorithm Review,19,1,2,221
Computer Networks,Network Troubleshooting,20,2,1,370
Software Engineering,Writing Code,16,2,3,98
Computer Networks,Lab Simulation,4,2,2,59
Artificial Intelligence,Reading Research Papers,3,2,2,42
Software Engineering,Writing Code,22,2,2,348
Computer Networks,Lab Simulation,20,1,1,296
Computer Networks,Configuring Routers,5,2,2,59
Artificial Intelligence,Writing Code,16,3,1,540
Artificial Intelligence,Reading Research Papers,7,1,2,64
Artificial Intelligence,Writing Code,8,2,1,204
Computer Networks,Network Troubleshooting,9,1,2,91
Artificial Intelligence,Data Preprocessing,17,2,1,392
Artificial Intelligence,Data Preprocessing,1,2,1,22
Software Engineering,Writing Code,24,1,1,302
Artificial Intelligence,Math/Algorithm Review,9,1,1,138
Artificial Intelligence,Reading Research Papers,20,1,1,298
Software Engineering,Writing Code,17,2,1,401
Artificial Intelligence,Data Preprocessing,19,2,1,410
Artificial Intelligence,Writing Code,23,1,2,262
Computer Networks,Configuring Routers,1,3,1,38
Artificial Intelligence,Writing Code,16,3,2,347
Computer Networks,Reading Protocols,10,3,2,167
Artificial Intelligence,Math/Algorithm Review,5,1,1,77
Computer Networks,Reading Protocols,18,3,3,275
Artificial Intelligence,Writing Code,11,1,2,95
Artificial Intelligence,Data Preprocessing,5,2,2,66
Computer Networks,Lab Simulation,2,1,1,19
Software Engineering,System Design,20,2,2,272
Artificial Intelligence,Writing Code,24,3,1,581
Computer Networks,Network Troubleshooting,9,3,1,217
Artificial Intelligence,Model Training,5,3,2,109
Artificial Intelligence,Model Training,20,2,1,312
Artificial Intelligence,Model Training,3,1,1,36
Artificial Intelligence,Model Training,11,2,1,280
Computer Networks,Security Auditing,3,2,1,54
Artificial Intelligence,Math/Algorithm Review,6,1,2,64
Software Engineering,Reading Documentation,4,1,1,66
Software Engineering,Reading Documentation,10,2,1,219
Artificial Intelligence,Data Preprocessing,13,2,1,313
Computer Networks,Configuring Routers,9,2,3,106
Artificial Intelligence,Data Preprocessing,10,1,2,91
Computer Networks,Security Auditing,21,3,2,423
Software Engineering,Reading Documentation,19,2,2,207
Software Engineering,Writing Code,10,2,1,233
Computer Networks,Security Auditing,15,1,1,217
Artificial Intelligence,Writing Code,11,1,1,185
Artificial Intelligence,Data Preprocessing,11,2,1,211
Computer Networks,Network Troubleshooting,18,3,3,275
Artificial Intelligence,Math/Algorithm Review,10,2,1,224
Computer Networks,Reading Protocols,14,2,3,163
Software Engineering,Code Review,1,3,2,29
Computer Networks,Lab Simulation,2,2,1,36
Artificial Intelligence,Reading Research Papers,11,3,1,418
Artificial Intelligence,Math/Algorithm Review,13,2,2,186
Computer Networks,Configuring Routers,23,2,1,415
Software Engineering,Writing Code,6,1,1,90
Software Engineering,Code Review,19,1,1,268
Computer Networks,Network Troubleshooting,23,1,2,204
Computer Networks,Lab Simulation,4,2,1,87
Artificial Intelligence,Data Preprocessing,17,1,1,234
Artificial Intelligence,Data Preprocessing,22,2,3,321
Computer Networks,Reading Protocols,22,1,2,261
Computer Networks,Lab Simulation,17,2,3,154
Software Engineering,Code Review,18,1,2,147
